f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,label
1.89069,0.45554,-0.32997,-1.16114,1.6681,0.37872,0.86972,-0.08019,0.17264,2.54104,-0.45836,-0.32997,1.20543,0.35301,1.07937,-1.80502,-1.80502,1.03794,-0.65558,1.0478,1
-1.73607,-1.51136,-0.44417,1.12052,0.76643,0.08998,0.0927,-0.71933,0.35293,-1.5552,-0.06335,-0.44417,0.1818,-0.90704,-0.10088,-1.6597,-1.6597,0.9291,0.75291,-0.01597,0
-0.1902,-0.7667,-0.03632,0.12186,0.43921,0.00945,0.19968,-0.27874,-0.24765,0.43984,-0.30657,-0.03632,2.2537,-0.52107,-0.26479,-0.12706,-0.12706,0.11754,1.49943,0.79427,0
2.24595,0.82387,-0.24034,-1.39034,-0.37466,-0.6062,-0.36536,-1.17975,-0.64335,0.20753,1.2238,-0.24034,-0.41203,-0.87776,-0.2207,-1.47096,-1.47096,0.13896,-1.40797,-0.33827,2
-0.8991,2.27575,-0.23723,0.58083,-0.85411,0.62905,-0.26282,-0.59654,-1.39811,0.25824,0.43392,-0.23723,0.71584,1.06705,-0.75353,-0.89153,-0.89153,-0.01197,-0.21075,-0.43312,2
1.34039,0.86014,-0.21464,-0.82458,1.02979,1.07929,-0.77806,-0.7414,0.82165,-0.73718,0.89848,-0.21464,0.50251,0.53072,1.92231,-1.19402,-1.19402,0.47561,-0.41989,-0.29658,2
-1.39266,-0.4798,-0.32438,0.89654,2.26457,0.28071,-0.32439,0.64618,-2.20469,-0.06185,-0.37093,-0.32438,2.55489,0.25607,-1.31719,-1.18966,-1.18966,-0.93685,-0.35062,-0.61565,0
-0.78563,0.52812,0.06061,0.48805,0.68314,-0.74773,-0.01305,0.55354,0.01728,-0.30881,1.10555,0.06061,-1.31084,0.34982,0.8726,0.41038,0.41038,-1.04367,-1.26917,-0.0321,1
1.7839,-1.62842,0.4818,-1.15323,-0.57375,0.29395,1.41732,-0.67098,1.31229,1.05973,0.45934,0.4818,-1.52454,1.39557,-0.7682,1.81818,1.81818,-0.15866,-1.45482,0.41862,3
1.18681,1.47208,0.37591,-0.77126,1.18238,0.83712,0.15807,1.67959,-1.27376,-0.47086,-0.31833,0.37591,-0.12808,-0.43763,0.693,1.45544,1.45544,-0.76818,1.38138,0.2254,3
-0.34501,0.68989,0.37339,0.18911,-1.23,0.04381,-0.35857,-0.03537,-0.6173,-0.83825,0.20846,0.37339,-0.83229,1.22429,-0.5575,1.71979,1.71979,0.49743,-0.42889,1.29839,1
1.49821,0.47177,0.20205,-0.95381,-2.38235,1.9566,1.59627,0.94865,-0.75471,0.49774,1.68344,0.20205,0.28563,0.62876,-0.56663,0.62759,0.62759,0.29244,-0.34556,0.25259,3
-1.10041,0.19543,-0.40143,0.71896,0.1586,-2.38004,1.40615,1.68575,-0.11442,0.96451,0.39607,-0.40143,-0.00432,-1.40194,-0.7741,-1.58431,-1.58431,0.04115,-0.63748,1.7926,0
-0.70872,0.99996,-0.1771,0.45712,-0.56873,1.24325,0.67315,-0.37216,-0.48547,-0.76205,-0.06295,-0.1771,0.306,0.94463,0.07694,-0.65878,-0.65878,-2.14438,-0.18939,-0.10615,0
-0.10641,1.24212,0.00534,0.06632,-1.28746,0.25266,-0.34097,-0.68555,0.26036,0.25226,0.34667,0.00534,-0.8995,-0.17147,-0.49563,0.04284,0.04284,0.65681,0.16027,-0.52562,2
2.45822,-0.74653,-0.31929,-1.51765,-0.18274,0.62553,-0.18785,2.10227,-0.60157,0.1594,-1.59858,-0.31929,0.6762,0.93714,0.26692,-1.85965,-1.85965,-0.16238,-0.87096,-0.02732,2
-0.28962,-0.91608,-0.20504,0.19646,0.44637,-1.60617,1.2921,0.80974,-0.48112,-1.08409,-1.3688,-0.20504,-1.01956,-0.96122,-1.61261,-0.85823,-0.85823,1.22115,-0.65753,0.04784,0
2.57193,-2.32277,-0.18594,-1.59863,1.5276,-1.46252,0.18034,0.77226,1.22475,1.88945,1.63867,-0.18594,-0.28804,-1.41776,-1.52995,-1.28807,-1.28807,-1.95978,0.62446,0.5868,2
1.04634,0.86162,0.0225,-0.65751,0.53374,-0.45502,-0.68744,1.43558,1.67193,0.82913,0.79908,0.0225,0.265,-0.30546,1.63847,-0.08828,-0.08828,0.51937,-0.16645,0.16097,3
-0.03849,0.09415,0.03049,0.02191,-0.77879,0.61795,0.41167,-0.40514,-1.53339,1.41418,-0.13638,0.03049,0.30632,-0.1879,0.00116,0.1423,0.1423,-1.51697,1.13714,-0.172,2
5.14012,-0.02898,-0.63064,-3.17609,1.09475,-1.09294,-0.4651,-0.07882,0.17853,0.15838,-1.51185,-0.63064,0.79767,-1.43795,0.57184,-3.72433,-3.72433,0.87808,0.78526,-0.02904,2
-0.56389,0.89092,0.06066,0.34905,1.06564,-1.40412,-0.57077,0.17994,0.81561,1.33801,1.19447,0.06066,0.9215,0.45032,1.10077,0.37072,0.37072,-0.46916,0.93371,-0.323,2
1.66177,0.11383,0.18215,-1.05489,-1.96722,0.74101,0.82862,1.27948,0.46524,-0.12983,-0.52544,0.18215,0.04197,-0.5344,-0.72488,0.50979,0.50979,1.03954,-1.20867,0.34279,3
-1.31906,-0.79466,-0.29884,0.84855,-1.04064,0.32536,-0.75872,0.88969,-1.58543,-1.43868,-0.1639,-0.29884,0.45115,-0.4908,-0.58315,-1.0895,-1.0895,-0.57877,1.96517,-0.2523,0
-0.978,0.3977,0.21899,0.59711,0.57648,-0.82663,0.10668,-0.28315,1.21273,0.09843,1.54148,0.21899,-0.28415,-0.41207,1.37354,1.14813,1.14813,-1.28717,0.42576,1.19033,1
-0.27818,1.26976,0.12234,0.16547,0.92877,-0.41197,0.30308,-1.86485,0.39022,-1.55506,-0.39409,0.12234,-0.20739,0.01937,-2.39112,0.59319,0.59319,0.00344,0.64493,-0.56341,2
2.0756,-0.89982,0.26027,-1.31997,-0.13819,0.42856,0.54355,0.1823,-0.65638,0.31301,-0.2674,0.26027,-0.98493,1.43841,0.88697,0.7822,0.7822,0.55989,0.50999,0.39348,3
-0.80739,-0.31196,0.24611,0.48819,-1.09047,-0.91806,-0.19749,-0.49305,-0.26314,0.01977,-1.86555,0.24611,0.52794,-1.68063,1.1636,1.23786,1.23786,-0.21911,-0.57729,-0.09696,1
-0.26304,0.70428,0.25059,0.14665,2.05861,-0.73199,-1.23892,0.01545,0.3158,1.05173,0.42938,0.25059,0.13856,0.71072,-0.60632,1.15982,1.15982,1.24395,0.21299,0.00161,1
1.38481,1.64524,0.23753,-0.88531,-2.21438,-1.91019,-0.22031,-0.7493,1.47639,-1.91594,1.58544,0.23753,1.5286,1.13794,0.7951,0.8055,0.8055,-0.7213,1.02059,-1.06855,3
-1.7093,-1.94331,-0.41627,1.10171,-1.28919,0.39854,0.18194,-1.13011,-2.17225,-1.16683,1.23676,-0.41627,3.26075,-1.47344,0.78461,-1.54066,-1.54066,1.53428,-0.28304,-0.96238,0
-0.11511,-0.13362,0.13475,0.06235,-0.59656,1.01821,-0.80198,-0.49175,-0.56475,0.43878,1.07206,0.13475,0.6463,-1.86292,-0.81837,0.61896,0.61896,-0.93511,-0.33223,-1.05507,3
-1.34958,-2.5058,-0.40254,0.87522,0.44337,1.78912,1.66743,-0.11407,1.52213,-0.34859,0.9859,-0.40254,1.83389,1.31172,0.77756,-1.54442,-1.54442,0.60679,0.88625,-0.42021,0
-1.21746,-0.83415,0.18591,0.74961,0.56644,-0.18986,0.32428,0.28191,-0.66256,-0.16724,1.76491,0.18591,-0.37621,-0.1947,-1.18517,1.04435,1.04435,-0.27888,-0.18343,-0.87739,1
-0.88948,-0.35278,-0.25593,0.57616,1.57101,-0.00634,0.37484,-0.92637,0.45519,-0.1288,0.34105,-0.25593,0.56961,0.76332,1.01032,-0.97628,-0.97628,-0.15857,-0.21028,-1.51349,0
2.46241,1.97743,0.37324,-1.57065,0.26206,-0.76403,-1.20527,-0.48144,-0.11133,-0.9606,-1.29253,0.37324,-0.0728,0.86571,0.54671,1.21418,1.21418,1.22668,-0.34182,-1.01541,3
-1.04005,1.11721,-0.00031,0.65195,0.02893,-0.66656,0.67543,0.76594,-1.19275,0.17881,-0.13115,-0.00031,-1.9128,2.24389,-0.70322,0.1857,0.1857,-1.24837,0.32246,-0.3643,1
1.11906,-1.05129,0.31668,-0.72449,0.10982,0.81828,-0.14708,-1.41601,0.1357,0.46712,-0.01217,0.31668,-0.77247,-0.52652,0.66229,1.20467,1.20467,-0.66487,-1.54553,-1.51308,3
0.00257,-1.03311,0.19476,-0.01578,0.59696,-0.97211,0.65903,0.05893,-1.10296,0.4001,0.48997,0.19476,-0.49547,1.85598,-0.59196,0.86421,0.86421,-0.56202,1.24463,0.44872,3
-0.62975,1.98846,0.17426,0.38207,-1.28093,1.40237,0.82933,2.20058,-0.47068,-0.65679,1.27963,0.17426,-0.29117,0.45057,-1.00306,0.88693,0.88693,0.17951,-0.36019,-0.32126,1
-0.38556,-1.15646,0.15832,0.23017,-0.26926,1.21669,0.41611,-0.8984,-0.01924,-1.16887,-0.38617,0.15832,-0.90175,0.09714,0.23476,0.77221,0.77221,-1.77561,0.10542,1.3932,3
-0.70785,0.40648,-0.17139,0.45616,0.55877,0.90223,0.60387,-0.49945,0.47354,-0.83366,2.50256,-0.17139,0.17684,0.13604,0.9647,-0.63362,-0.63362,-1.52138,0.74628,-0.63621,0
0.99821,0.47486,0.03504,-0.62825,-0.18719,-0.30558,0.80474,0.03716,1.177,0.71702,0.59062,0.03504,-0.13271,-0.35177,1.27515,-0.02397,-0.02397,0.48006,0.20185,0.7497,2
-1.23374,-1.08345,-0.39338,0.80195,-1.6988,-0.27775,-1.0357,-2.3953,-1.06011,0.20085,-0.75246,-0.39338,-0.07901,-1.47455,-0.03836,-1.52457,-1.52457,-0.07113,0.077,-0.55968,0
1.15284,-0.357,0.29581,-0.74414,1.30283,1.40667,-1.15213,0.6129,-0.33035,-0.38678,-1.55906,0.29581,2.39136,-1.36879,-0.33605,1.10596,1.10596,-0.58077,0.60421,0.33587,3
0.31182,-1.46436,0.34248,-0.22036,0.21017,-1.04336,1.74116,0.56382,2.3686,0.16314,0.88945,0.34248,-0.2521,1.36006,0.87915,1.46442,1.46442,0.55975,-0.43536,-1.63244,3
2.28111,-0.6781,-0.26249,-1.41077,-0.10801,-1.77321,0.23762,-0.24001,-1.9193,-0.59124,0.74581,-0.26249,0.34383,-1.10996,-0.27721,-1.57562,-1.57562,0.48034,-0.70102,-1.01518,2
-0.96635,0.43235,0.17407,0.59307,-1.4099,-0.04824,-0.60016,0.04467,-0.40467,0.21644,1.12359,0.17407,-0.82553,0.1896,0.76199,0.9466,0.9466,-0.66429,-1.2895,1.77254,1
1.63536,1.21416,-0.09772,-1.01798,-0.33809,2.07804,1.79756,-0.16958,2.47702,0.33491,-1.44154,-0.09772,0.92798,-0.09873,0.09253,-0.72798,-0.72798,-0.6011,0.30762,-0.53918,2
-2.03639,-0.1052,-0.32201,1.29988,0.05449,-0.66258,-1.05991,-3.25777,0.42182,2.282,-0.35665,-0.32201,1.86134,-1.02862,-1.80323,-1.06335,-1.06335,-0.78205,0.30533,-0.16812,0
-1.28862,-0.0136,-0.4014,0.83693,0.60266,0.68437,0.44314,-1.20042,1.00791,1.64559,0.2727,-0.4014,1.20518,-0.91864,-2.04641,-1.55031,-1.55031,0.4654,0.04004,-0.96324,0
-0.69508,0.71514,0.25194,0.41737,-0.33535,0.63186,-0.64797,-0.61234,-0.72624,0.13414,1.37224,0.25194,-0.15613,-2.19878,-0.45345,1.24356,1.24356,-1.01778,-0.96252,1.17404,1
-0.87043,0.3615,0.13811,0.53557,0.31324,-0.9904,0.7846,-0.35496,-0.1217,0.4272,-1.47192,0.13811,0.01806,0.66705,-0.62969,0.76972,0.76972,0.26562,-0.35765,-0.36299,2
-1.15016,-0.27685,0.11945,0.71226,-1.95889,0.10904,-1.87105,1.58697,-1.4,-0.0545,0.72606,0.11945,-1.14613,-0.6063,0.59441,0.73718,0.73718,0.58999,0.80715,-0.88631,1
-0.69117,-1.41494,-0.23169,0.45009,-0.48434,-0.98269,-0.45403,0.44462,-0.7401,-0.57799,0.019,-0.23169,0.27505,-0.39168,-1.31471,-0.90432,-0.90432,0.52455,-0.02664,0.42106,0
-1.79525,-0.23493,0.08835,1.11888,0.48743,0.49954,0.6471,0.54005,0.38833,-1.54387,-0.0836,0.08835,-0.428,-1.53664,-1.1849,0.71512,0.71512,-0.90178,0.31151,0.76825,1
0.14359,0.65189,-0.07109,-0.08484,0.73659,-0.44112,0.97941,0.5468,-0.0275,-0.6394,-0.83443,-0.07109,0.67647,-0.09549,-0.19292,-0.34143,-0.34143,-1.21455,0.79423,1.03736,2
-1.4009,1.47774,0.11845,0.86951,0.962,-1.00289,-0.35115,0.61133,-0.7076,1.16987,0.24454,0.11845,-1.01437,-2.49664,0.65156,0.77785,0.77785,0.2229,0.84331,-1.27966,1
-1.32831,0.56755,0.13513,0.82279,0.31877,1.57283,1.58659,-0.01822,0.58842,-0.18912,0.82258,0.13513,-1.20833,1.19211,-0.28219,0.83886,0.83886,-0.34749,1.07165,0.02525,1
0.33171,-1.71676,0.4763,-0.24256,-1.08014,-0.73923,0.15737,-1.47073,-0.76771,-0.21357,-1.16152,0.4763,1.11209,0.13437,-0.45405,2.05496,2.05496,1.2977,2.0703,-0.57614,3
-0.59848,0.35472,0.30977,0.35261,-1.34461,1.62629,-0.62515,-0.32065,-0.33799,0.1903,0.1109,0.30977,1.16222,1.08719,0.36816,1.48291,1.48291,0.05457,0.13626,-1.25409,1
-0.46913,0.21796,0.22949,0.27737,0.29967,1.40186,-0.52384,-0.09321,0.52613,-0.22645,0.07613,0.22949,-1.79248,1.5613,1.89707,1.10323,1.10323,-1.96352,-0.02616,-0.27364,1
-1.59288,-0.91044,-0.6019,1.04223,-0.11193,0.92423,-1.18777,-0.63601,-0.23207,-0.35418,-1.45797,-0.6019,2.30134,0.71407,-0.17075,-2.38574,-2.38574,-0.36739,-0.0752,0.28026,0
-1.33343,-0.74332,-0.49199,0.87161,1.5638,0.28886,1.47991,1.90177,-0.63542,-0.37193,-1.11669,-0.49199,-1.03438,0.71533,0.61632,-1.94445,-1.94445,0.77029,-0.57003,-0.74,0
2.29083,0.08927,-0.27654,-1.41584,2.33598,-1.58762,-0.82039,-0.66912,-0.8728,0.42724,0.92411,-0.27654,-1.06594,-0.24646,1.35237,-1.63976,-1.63976,0.35306,-0.87992,-1.39402,2
